time,proto,sip,sport,dip,dport,from,to,subject
2017/11/25 3:00,,10.1.4.17,5328,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,[System Maintenance Notice]
2017/11/25 3:00,,10.1.4.17,2395,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,[System Maintenance Notice]
2017/11/25 3:00,,10.1.4.17,3223,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,[System Maintenance Notice]
2017/11/25 3:00,,10.1.4.17,4600,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,[System Maintenance Notice]
2017/11/25 3:00,,10.1.4.17,2692,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,[System Maintenance Notice]
2017/11/25 3:00,,10.1.4.17,5423,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,[System Maintenance Notice]
2017/11/25 3:00,,10.1.4.17,2844,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,[System Maintenance Notice]
2017/11/25 3:00,smtp,10.1.4.17,49195,10.5.71.60,25,kaoqin@hightech.com,1297@hightech.com,Late
2017/11/25 3:00,smtp,10.1.4.17,49183,10.5.71.60,25,kaoqin@hightech.com,1440@hightech.com,Late
2017/11/25 3:00,smtp,10.1.4.17,49228,10.5.71.60,25,kaoqin@hightech.com,1170@hightech.com,Late
2017/11/25 3:00,smtp,10.1.4.17,49221,10.5.71.60,25,kaoqin@hightech.com,1060@hightech.com,Late
2017/11/25 3:00,smtp,10.1.4.17,49215,10.5.71.60,25,kaoqin@hightech.com,1007@hightech.com,Absent
2017/11/25 3:00,smtp,10.1.4.17,49194,10.5.71.60,25,kaoqin@hightech.com,1013@hightech.com,Late
2017/11/25 4:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1067@hightech.com,Absent
2017/11/25 4:00,smtp,10.1.4.17,49227,10.5.71.60,25,kaoqin@hightech.com,1444@hightech.com,Absent
2017/11/25 4:00,smtp,10.1.4.17,49191,10.5.71.60,25,kaoqin@hightech.com,1330@hightech.com,Late
2017/11/25 4:00,smtp,10.1.4.17,49175,10.5.71.60,25,kaoqin@hightech.com,1231@hightech.com,Late
2017/11/25 4:00,smtp,10.1.4.17,49208,10.5.71.60,25,kaoqin@hightech.com,1224@hightech.com,Absent
2017/11/25 4:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1199@hightech.com,Late
2017/11/25 4:00,smtp,10.1.4.17,49171,10.5.71.60,25,kaoqin@hightech.com,1434@hightech.com,Late
2017/11/25 4:00,smtp,10.1.4.17,49226,10.5.71.60,25,kaoqin@hightech.com,1149@hightech.com,Late
2017/11/25 4:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1080@hightech.com,Late
2017/11/25 4:00,smtp,10.1.4.17,49207,10.5.71.60,25,kaoqin@hightech.com,1041@hightech.com,Absent
2017/11/25 9:20,smtp,10.116.216.71,2500,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:257]HOST_5XX70e901255a3b28594c4b5adc0378eaab
2017/11/25 9:20,smtp,10.116.216.71,1555,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:896]HOST_5XX2f32909f5a56795f6f683f434e858400
2017/11/25 9:22,smtp,10.64.105.215,1560,10.5.71.60,25,1346@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com,Cost Control
2017/11/25 9:23,smtp,10.116.216.71,2445,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:934]HOST_5XX9f07caa76e0dbcc71704bdea33dd6426
2017/11/25 9:23,smtp,10.116.216.71,2189,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:488]HOST_5XXa3bce24dce0d2a2acb70dc6280d24fc5
2017/11/25 9:25,smtp,10.116.216.71,2553,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:399]HOST_5XX8d49a060fd212f239d796fa7bc0f23c7
2017/11/25 9:26,smtp,10.116.216.71,2149,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:1286]HOST_5XX19aa03d50872e1d1691298bc10de456a
2017/11/25 9:27,smtp,222.185.184.72,60277,10.5.71.60,25,6eb1d7582b95f2d099f2c7d05f2d0a33@qq.com,1057@hightech.com,王润樵wangrunqiao≮澳門新葡京116498點com－註冊即送38－釦釦：778684162群號：512137592六盒49備≯000000000
2017/11/25 9:32,smtp,125.112.225.185,50819,10.5.71.60,25,66dabf63f1108d7ef5c82cd6bb9216b8@qq.com,1087@hightech.com,陈艳chenyan≮期待您的加入×澳門新葡京116498點com－註冊即送38－釦釦：778741365群號：512137592≯a0000000000000
2017/11/25 9:32,smtp,10.116.216.72,2387,10.5.71.60,25,ti@hightech.net,1060@hightech.com,Internet Asset Monitoring and Alarm
2017/11/25 9:33,smtp,10.64.105.29,1826,10.5.71.60,25,1451@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,Cost Control
2017/11/25 9:33,smtp,10.116.216.71,1873,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:517]HOST_5XXccaad1ca2a8254ed49dd606e671d0bef
2017/11/25 9:33,smtp,10.116.216.71,1567,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1416]HOST_5XX19aa03d50872e1d1691298bc10de456a
2017/11/25 9:33,smtp,10.116.216.71,2192,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1142]HOST_5XX86f5ba7c4d75d6516bd1867f1a88f98e
2017/11/25 9:35,smtp,10.116.216.72,2214,10.5.71.60,25,ti@hightech.net,1060@hightech.com,Internet Asset Monitoring and Alarm
2017/11/25 9:35,smtp,10.64.105.231,2271,10.5.71.60,25,1213@hightech.com,1425@hightech.com,Financial Reporting
2017/11/25 9:36,smtp,10.116.216.71,2568,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:134]HOST_5XXac8873a555701b6920e67f380042ec36
2017/11/25 9:37,smtp,10.64.106.8,2434,10.5.71.60,25,1312@hightech.com,dc16e37075a9a7b24797c547de452765@sohu.com,"Recruitment Notice(Please reply to the email If you accept, thanks! )"
2017/11/25 9:38,smtp,10.64.106.23,1558,10.5.71.60,25,1248@hightech.com,1041@hightech.com,Work Report
2017/11/25 9:38,smtp,10.116.216.71,2496,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:488]HOST_5XX74418bed35a4841ce2a1fc37a09a0d7f
2017/11/25 9:39,smtp,10.116.216.72,2029,10.5.71.60,25,ti@hightech.net,1060@hightech.com,Internet Asset Monitoring and Alarm
2017/11/25 9:39,smtp,10.64.106.30,2625,10.5.71.60,25,1137@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,Accounting
